chr	chromStart	chromEnd	name	FC	strand	lg.p	lg.fdr	fold_enrchment	diff.lg.fdr	diff.lg.p	score	ENSEMBL_ID	Symbol	Functional_Location	Regulation	Min_Peak	Centre_Peak_Position	DisENg	diff.log2.fc	Distance	DistanceN	Gene
1	6249983	6250232	m6Ainputs.795	-1.07	-	-6.71	-6.19	4.91	-1.31	-2.83	1.90E-07	ENSG00000158292	GPR153	Greatest FC peak	Down	Y	6250107	0	-1.07	0	0	GPR153
1	6252635	6252736	m6Ainputs.795	-1.01	-	-5.32	-4.87	2.88	-0.584	-1.51	4.80E-06	ENSG00000158292	GPR153	Intron	None	N	6252685	2578	-1.07	2578	2578	
10	133101237	133101637	m6Ainputs.61097	-0.908	+	-3.21	-2	6.33	-7.28	-10.1	0.00062	ENSG00000197177	ADGRA1	Intron	Down	N	133101437	-27292	-1.93	27292	-27292	
10	133102335	133127234	m6Ainputs.61097	-1.07	+	-3.18	-1.98	2.17	-3.64	-5.83	0.00066	ENSG00000197177	ADGRA1	Exon	Down	N	133114784	-13945	-1.93	13945	-13945	
10	133105703	133106001	m6Ainputs.61096	1.04	-	-3.48	-3.11	7.22	-3.9	-6.15	0.00033	ENSG00000197177	ADGRA1	Intron	None	N	133105852	-22877	-1.93	22877	-22877	
10	133128679	133128780	m6Ainputs.61097	-1.93	+	-4.46	-3.16	8.33	-2.44	-4.35	3.50E-05	ENSG00000197177	ADGRA1	Greatest FC peak	Down	Y	133128729	0	-1.93	0	0	ADGRA1
10	133128878	133129229	m6Ainputs.61097	-0.426	+	-4.46	-3.16	4.17	-6.39	-9.05	3.50E-05	ENSG00000197177	ADGRA1	Exon	None	N	133129053	324	-1.93	324	324	
10	133129378	133129628	m6Ainputs.61097	0.129	+	-4.46	-4.05	20.3	-1.39	-2.95	3.50E-05	ENSG00000197177	ADGRA1	Exon	None	N	133129503	774	-1.93	774	774	
10	133130376	133130577	m6Ainputs.61097	0.0857	+	-2.55	-2.22	8.56	-4.13	-6.45	0.0028	ENSG00000197177	ADGRA1	Exon	None	N	133130476	1747	-1.93	1747	1747	
11	14643772	14644271	m6Ainputs.64261	-0.897	+	-12.4	-11.5	7.24	-1.68	-3.35	4.00E-13	ENSG00000152270	PDE3B	Greatest FC peak	Down	Y	14644021	0	-0.897	0	0	PDE3B
11	14644420	14644620	m6Ainputs.64261	0.504	+	-12.4	-11.5	11.1	-0.776	-1.94	4.00E-13	ENSG00000152270	PDE3B	Exon	None	N	14644520	499	-0.897	499	499	
11	14777773	14777923	m6Ainputs.64433	-0.769	-	-10	-9.26	10.3	-0.671	-1.7	1.00E-10	ENSG00000152270	PDE3B	Intron	None	N	14777848	133827	-0.897	133827	133827	
11	14863798	14863948	m6Ainputs.64485	0.503	-	-7.77	-7.19	5.13	-1.39	-2.94	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14863873	219852	-0.897	219852	219852	
11	14864047	14864246	m6Ainputs.64485	0.333	-	-7.77	-6.2	4.33	-0.632	-1.62	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864146	220125	-0.897	220125	220125	
11	14864345	14864445	m6Ainputs.64485	-0.671	-	-7.77	-6.2	3.33	-0.337	-0.947	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864395	220374	-0.897	220374	220374	
11	14864593	14864693	m6Ainputs.64485	-0.43	-	-7.77	-6.2	5.33	-0.337	-0.947	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864643	220622	-0.897	220622	220622	
11	14867699	14869900	m6Ainputs.64261	-0.0336	+	-11.1	-10.2	28	0	0	7.90E-12	ENSG00000152270	PDE3B	Exon	None	N	14868799	224778	-0.897	224778	224778	
12	128267388	128267538	m6Ainputs.103621	-0.412	-	-7.58	-7.01	3.33	0	0	2.60E-08	ENSG00000181234	TMEM132C	Exon	None	N	128267463	-147708	-0.76	147708	-147708	
12	128333444	128333641	m6Ainputs.103645	0.2	-	-6.62	-6.1	7.11	0	0	2.40E-07	ENSG00000181234	TMEM132C	Intron	None	N	128333542	-81629	-0.76	81629	-81629	
12	128333868	128333964	m6Ainputs.103647	0.352	-	-7.7	-7.12	7.78	-0.436	-1.18	2.00E-08	ENSG00000181234	TMEM132C	Intron	None	N	128333916	-81255	-0.76	81255	-81255	
12	128414846	128415496	m6Ainputs.103623	-0.76	+	-12.1	-11.2	9.92	-1.84	-3.58	7.90E-13	ENSG00000181234	TMEM132C	Greatest FC peak	Down	Y	128415171	0	-0.76	0	0	TMEM132C
12	128421491	128421642	m6Ainputs.103695	0.894	-	-8.89	-8.23	10.2	-0.549	-1.44	1.30E-09	ENSG00000181234	TMEM132C	Intron	None	N	128421566	6395	-0.76	6395	6395	
12	128705316	128706516	m6Ainputs.103623	-0.175	+	-13.8	-12.7	79.3	0	0	1.60E-14	ENSG00000181234	TMEM132C	Exon	None	N	128705916	290745	-0.76	290745	290745	
14	105050788	105051289	m6Ainputs.134526	-0.763	-	-5.41	-4.96	10.7	-3.42	-5.56	3.90E-06	ENSG00000183484	GPR132	Greatest FC peak	Down	Y	105051038	0	-0.763	0	0	GPR132
14	105051487	105051638	m6Ainputs.134526	-0.00295	-	-7.74	-7.15	6	0	0	1.80E-08	ENSG00000183484	GPR132	Exon	None	N	105051562	524	-0.763	524	524	
14	105054017	105054118	m6Ainputs.134526	-1.36	-	-3.01	-1.82	3.44	0	0	0.00098	ENSG00000183484	GPR132	Intron	None	N	105054067	3029	-0.763	3029	3029	
14	105055488	105055839	m6Ainputs.134526	-0.127	-	-5.9	-5.43	12.9	-0.675	-1.72	1.30E-06	ENSG00000183484	GPR132	Exon	None	N	105055663	4625	-0.763	4625	4625	
14	105055938	105056139	m6Ainputs.134526	0.174	-	-6.3	-4.85	3.67	-1.4	-2.97	5.00E-07	ENSG00000183484	GPR132	Exon	None	N	105056038	5000	-0.763	5000	5000	
16	727085	727255	m6Ainputs.163753	-0.843	+	-11.9	-11.1	10.2	-0.392	-1.08	1.30E-12	ENSG00000103253	HAGHL	Greatest FC peak	None	Y	727170	0	-0.843	0	0	HAGHL
16	730249	730548	m6Ainputs.163749	-0.296	-	-9.01	-8.34	2.78	-0.763	-1.91	9.80E-10	ENSG00000103253	HAGHL	Exon	None	N	730398	3228	-0.843	3228	3228	
16	733120	733679	m6Ainputs.163753	-0.712	+	-7.31	-6.75	4.89	-2.2	-4.05	4.90E-08	ENSG00000103253	HAGHL	Exon	Down	N	733399	6229	-0.843	6229	6229	
16	734216	734316	m6Ainputs.163749	-0.138	-	-4.92	-4.49	1.33	0	0	1.20E-05	ENSG00000103253	HAGHL	Exon	None	N	734266	7096	-0.843	7096	7096	
16	734415	734763	m6Ainputs.163749	-0.0112	-	-4.92	-4.49	3.93	-0.544	-1.43	1.20E-05	ENSG00000103253	HAGHL	Exon	None	N	734589	7419	-0.843	7419	7419	
16	734426	734777	m6Ainputs.163753	-0.0716	+	-3.4	-3.04	5.6	-0.933	-2.22	0.0004	ENSG00000103253	HAGHL	Exon	None	N	734601	7431	-0.843	7431	7431	
16	735175	735425	m6Ainputs.163753	-0.726	+	-18.5	-17.1	45.4	-0.426	-1.16	3.20E-19	ENSG00000103253	HAGHL	Intron	None	N	735300	8130	-0.843	8130	8130	
18	44678537	44678687	m6Ainputs.184693	-2.56	-	-11.9	-11	20.6	-0.181	-0.587	1.30E-12	ENSG00000267414	AC120049.1	Exon	None	N	44678612	-10	-2.75	10	-10	
18	44678548	44678696	m6Ainputs.184693	-2.75	-	-12.6	-11.6	24.3	-0.397	-1.09	2.50E-13	ENSG00000267414	AC120049.1	Greatest FC peak	None	Y	44678622	0	-2.75	0	0	ENSG00000267414
18	44678784	44678884	m6Ainputs.184693	-1.07	-	-12.8	-11.9	13.6	-0.649	-1.65	1.60E-13	ENSG00000267414	AC120049.1	Exon	None	N	44678834	212	-2.75	212	212	
18	44678793	44679619	m6Ainputs.184693	-1.45	-	-12.8	-11.9	11.3	-1.34	-2.88	1.60E-13	ENSG00000267414	AC120049.1	Exon	Down	N	44679206	584	-2.75	584	584	
18	44679130	44679329	m6Ainputs.184693	0.913	-	-9.43	-8.73	7.2	-0.167	-0.558	3.70E-10	ENSG00000267414	AC120049.1	Intron	None	N	44679229	607	-2.75	607	607	
18	44679135	44679332	m6Ainputs.184694	0.725	+	-9.04	-8.36	5.62	0	0	9.10E-10	ENSG00000267414	AC120049.1	Intron	None	N	44679233	611	-2.75	611	611	
2	104854587	104854880	m6Ainputs.215751	-0.31	-	-6.84	-6.31	10.2	-2.9	-4.94	1.40E-07	ENSG00000269707	AC018730.2	Intron	None	N	104854733	-3456	-1.38	3456	-3456	
2	104854617	104854761	m6Ainputs.215753	0.12	+	-3.94	-3.56	10	-2.02	-3.81	0.00011	ENSG00000269707	AC018730.2	Intron	None	N	104854689	-3500	-1.38	3500	-3500	
2	104856304	104856503	ENSG00000198914	1.18	+	-8.19	-6.58	4	-1.84	-3.57	6.50E-09	ENSG00000269707	AC018730.2	Exon	None	N	104856403	-1786	-1.38	1786	-1786	
2	104856601	104856801	ENSG00000198914	0.901	+	-8.19	-7.58	8.67	-3.1	-5.18	6.50E-09	ENSG00000269707	AC018730.2	Exon	None	N	104856701	-1488	-1.38	1488	-1488	
2	104857147	104857545	ENSG00000198914	0.112	+	-8.19	-7.58	11.2	-5.64	-8.19	6.50E-09	ENSG00000269707	AC018730.2	Exon	None	N	104857346	-843	-1.38	843	-843	
2	104857643	104857892	ENSG00000198914	-1.14	+	-8.19	-6.58	9.5	-3.95	-6.21	6.50E-09	ENSG00000269707	AC018730.2	Exon	Down	N	104857767	-422	-1.38	422	-422	
2	104858139	104858239	ENSG00000198914	-1.38	+	-8.19	-7.58	19.4	-1.12	-2.52	6.50E-09	ENSG00000269707	AC018730.2	Greatest FC peak	None	Y	104858189	0	-1.38	0	0	ENSG00000269707
20	58459549	58459650	m6Ainputs.248466	0.307	-	-8.46	-7.82	10.8	-0.262	-0.772	3.50E-09	ENSG00000198768	APCDD1L	Exon	None	N	58459599	-55079	-1.52	55079	-55079	
20	58460646	58460797	m6Ainputs.248466	-0.121	-	-7.87	-7.27	10.2	0	0	1.30E-08	ENSG00000198768	APCDD1L	Exon	None	N	58460721	-53957	-1.52	53957	-53957	
20	58506579	58506830	m6Ainputs.248465	-0.332	+	-5.22	-4.78	8.5	-4.43	-6.78	6.00E-06	ENSG00000198768	APCDD1L	Intron	None	N	58506704	-7974	-1.52	7974	-7974	
20	58507079	58507480	m6Ainputs.248465	-0.388	+	-5.22	-4.78	7.89	-1.66	-3.33	6.00E-06	ENSG00000198768	APCDD1L	Intron	None	N	58507279	-7399	-1.52	7399	-7399	
20	58513928	58514229	m6Ainputs.248465	-1.06	+	-4.22	-3.83	3.28	-4.03	-6.32	6.00E-05	ENSG00000198768	APCDD1L	Intron	Down	N	58514078	-600	-1.52	600	-600	
20	58514628	58514729	m6Ainputs.248465	-1.52	+	-3.11	-1.91	1.83	-2.11	-3.93	0.00078	ENSG00000198768	APCDD1L	Greatest FC peak	Down	Y	58514678	0	-1.52	0	0	APCDD1L
20	58515030	58515131	m6Ainputs.248466	-1.15	-	-6.41	-5.91	11	-2.62	-4.58	3.90E-07	ENSG00000198768	APCDD1L		Down	N	58515080	402	-1.52	402	402	
5	142592377	142592627	m6Ainputs.340811	-0.863	-	-2.79	-1.61	4.83	-1.82	-3.55	0.0016	ENSG00000113578	FGF1	Greatest FC peak	Down	Y	142592502	0	-0.863	0	0	FGF1
5	142658839	142658940	m6Ainputs.340889	0.12	+	-7.99	-7.39	11.5	-0.274	-0.803	1.00E-08	ENSG00000113578	FGF1	Intron	None	N	142658889	66387	-0.863	66387	66387	
5	142658840	142658941	m6Ainputs.340890	0.317	-	-7.88	-7.29	11.3	-0.149	-0.517	1.30E-08	ENSG00000113578	FGF1	Intron	None	N	142658890	66388	-0.863	66388	66388	
5	142660090	142660239	m6Ainputs.340891	0.67	+	-5.38	-4.93	5.76	0	-0.000724	4.20E-06	ENSG00000113578	FGF1	Intron	None	N	142660164	67662	-0.863	67662	67662	
5	142660112	142660311	m6Ainputs.340892	0.741	-	-6.64	-6.12	6.08	-0.149	-0.516	2.30E-07	ENSG00000113578	FGF1	Intron	None	N	142660211	67709	-0.863	67709	67709	
5	142685691	142686245	m6Ainputs.340811	-0.518	-	-5.56	-5.1	4.5	-0.567	-1.48	2.80E-06	ENSG00000113578	FGF1	Exon	None	N	142685968	93466	-0.863	93466	93466	
5	5132607	5132956	m6Ainputs.319854	-0.0205	-	-10.1	-9.39	8.22	-1.31	-2.84	7.90E-11	ENSG00000250579	AC022424.1	Exon	None	N	5132781	-7235	-0.895	7235	-7235	
5	5139676	5140162	m6Ainputs.319854	-0.739	-	-19.9	-18.4	10	-5.05	-7.51	1.30E-20	ENSG00000250579	AC022424.1	Exon	Down	N	5139919	-97	-0.895	97	-97	
5	5139694	5139794	m6Ainputs.319855	-0.755	+	-7.83	-7.24	9.71	-2.06	-3.87	1.50E-08	ENSG00000250579	AC022424.1	Intron	Down	N	5139744	-272	-0.895	272	-272	
5	5139892	5140140	m6Ainputs.319855	-0.895	+	-7.28	-6.73	10.4	-3.27	-5.39	5.20E-08	ENSG00000250579	AC022424.1	Greatest FC peak	Down	Y	5140016	0	-0.895	0	0	ENSG00000250579
7	155458178	155458428	ENSG00000164778	-0.229	+	-3.43	-3.06	12	-5.92	-8.51	0.00037	ENSG00000164778	EN2	Exon	None	N	155458303	-649	-1.23	649	-649	
7	155458577	155458678	ENSG00000164778	-0.746	+	-6.09	-5.6	6.42	-1.69	-3.38	8.10E-07	ENSG00000164778	EN2	Exon	Down	N	155458627	-325	-1.23	325	-325	
7	155458877	155459027	ENSG00000164778	-1.23	+	-4.51	-4.1	8.67	-1.46	-3.05	3.10E-05	ENSG00000164778	EN2	Greatest FC peak	Down	Y	155458952	0	-1.23	0	0	EN2
7	155459177	155459277	m6Ainputs.396462	1.12	-	-7.08	-6.53	8.33	-0.18	-0.587	8.30E-08	ENSG00000164778	EN2	Intron	None	N	155459227	275	-1.23	275	275	
7	195251	195627	m6Ainputs.370181	-0.94	+	-6.41	-5.91	2.6	-4.22	-6.55	3.90E-07	ENSG00000177706	FAM20C	Greatest FC peak	Down	Y	195439	0	-0.94	0	0	FAM20C
7	198349	198449	m6Ainputs.370180	0.145	-	-18.8	-17.4	34	-0.185	-0.598	1.60E-19	ENSG00000177706	FAM20C	Intron	None	N	198399	2960	-0.94	2960	2960	
7	199844	200045	m6Ainputs.370180	0.0645	-	-21.6	-20	82	0	0	2.50E-22	ENSG00000177706	FAM20C	Intron	None	N	199944	4505	-0.94	4505	4505	
7	200293	200394	m6Ainputs.370180	0.134	-	-13.3	-12.3	12.3	-0.176	-0.578	5.00E-14	ENSG00000177706	FAM20C	Intron	None	N	200343	4904	-0.94	4904	4904	
7	259848	260695	m6Ainputs.370181	-0.0739	+	-17.2	-15.9	14	-0.756	-1.89	6.30E-18	ENSG00000177706	FAM20C	Exon	None	N	260271	64832	-0.94	64832	64832	
7	2538325	2538725	m6Ainputs.370775	0.138	-	-22.8	-21.1	6.19	0	0	1.60E-23	ENSG00000106009	BRAT1	Exon	None	N	2538525	-5266	-1.27	5266	-5266	
7	2541212	2541313	m6Ainputs.370775	-0.555	-	-10.1	-9.34	2.51	-2.07	-3.87	7.90E-11	ENSG00000106009	BRAT1	Exon	None	N	2541262	-2529	-1.27	2529	-2529	
7	2541412	2541746	m6Ainputs.370775	-0.887	-	-10.1	-9.34	2.52	-1.59	-3.22	7.90E-11	ENSG00000106009	BRAT1	Exon	Down	N	2541579	-2212	-1.27	2212	-2212	
7	2543292	2543592	m6Ainputs.370775	-0.57	-	-7.41	-6.84	5.18	-0.842	-2.06	3.90E-08	ENSG00000106009	BRAT1	Exon	None	N	2543442	-349	-1.27	349	-349	
7	2543741	2543842	m6Ainputs.370775	-1.27	-	-7.41	-6.84	5.84	-0.527	-1.39	3.90E-08	ENSG00000106009	BRAT1	Greatest FC peak	None	Y	2543791	0	-1.27	0	0	BRAT1
7	2544041	2544141	m6Ainputs.370775	-0.126	-	-7.41	-6.84	3.67	-2.11	-3.93	3.90E-08	ENSG00000106009	BRAT1	Intron	None	N	2544091	300	-1.27	300	300	
8	69672441	69672742	m6Ainputs.406622	-0.909	-	-11.7	-10.8	15.1	-2.77	-4.78	2.00E-12	ENSG00000137571	SLCO5A1	Exon	Down	Y	69672591	0	-0.909	0	0	
8	69672841	69673142	m6Ainputs.406622	-0.591	-	-11.7	-10.8	15.8	-2.96	-5.01	2.00E-12	ENSG00000137571	SLCO5A1	Exon	Down	N	69672991	400	-0.909	400	400	
8	69690093	69690244	m6Ainputs.406639	-0.51	+	-6.5	-6	8	-0.108	-0.43	3.20E-07	ENSG00000137571	SLCO5A1	Intron	None	N	69690168	17577	-0.909	17577	17577	
8	69831780	69832081	m6Ainputs.406622	0.0237	-	-11.1	-10.3	5.37	-3.71	-5.91	7.90E-12	ENSG00000137571	SLCO5A1	Exon	None	N	69831930	159339	-0.909	159339	159339	
8	69832629	69832980	m6Ainputs.406622	-0.074	-	-11.1	-10.3	11.1	-8.47	-11.4	7.90E-12	ENSG00000137571	SLCO5A1	Exon	None	N	69832804	160213	-0.909	160213	160213	
9	133555652	133555902	m6Ainputs.436118	-0.00684	+	-11.3	-10.5	7.29	-0.533	-1.4	5.00E-12	ENSG00000197859	ADAMTSL2	Exon	None	N	133555777	-19617	-0.745	19617	-19617	
9	133558248	133558349	m6Ainputs.436119	0.0721	-	-5.96	-5.48	2.33	-0.141	-0.499	1.10E-06	ENSG00000197859	ADAMTSL2	Intron	None	N	133558298	-17096	-0.745	17096	-17096	
9	133558497	133558796	m6Ainputs.436119	0.273	-	-12.1	-11.2	8.03	-0.965	-2.27	7.90E-13	ENSG00000197859	ADAMTSL2	Intron	None	N	133558646	-16748	-0.745	16748	-16748	
9	133569575	133569725	m6Ainputs.436120	0.706	-	-5.53	-5.08	3.15	-0.958	-2.26	3.00E-06	ENSG00000197859	ADAMTSL2	Exon	None	N	133569650	-5744	-0.745	5744	-5744	
9	133574971	133575121	m6Ainputs.436118	-0.375	+	-11.3	-10.4	7.64	-0.76	-1.9	5.00E-12	ENSG00000197859	ADAMTSL2	Exon	None	N	133575046	-348	-0.745	348	-348	
9	133575269	133575519	m6Ainputs.436118	-0.745	+	-11.3	-10.4	6.94	-1.36	-2.91	5.00E-12	ENSG00000197859	ADAMTSL2	Greatest FC peak	Down	Y	133575394	0	-0.745	0	0	ADAMTSL2
9	136364075	136364225	m6Ainputs.436587	0.199	-	-6.25	-5.75	3.82	-0.759	-1.9	5.60E-07	ENSG00000187796	CARD9	Exon	None	N	136364150	-265	-1.14	265	-265	
9	136364324	136364506	m6Ainputs.436587	-1.14	-	-6.25	-5.75	1.61	-2.7	-4.69	5.60E-07	ENSG00000187796	CARD9	Greatest FC peak	Down	Y	136364415	0	-1.14	0	0	CARD9
9	136367965	136369839	m6Ainputs.436587	-0.822	-	-3.84	-3.46	2.4	-1.44	-3.02	0.00014	ENSG00000187796	CARD9	Exon	Down	N	136368902	4487	-1.14	4487	4487	
9	136369987	136370088	m6Ainputs.436587	-0.501	-	-3.84	-3.46	2.94	-1.99	-3.77	0.00014	ENSG00000187796	CARD9	Intron	None	N	136370037	5622	-1.14	5622	5622	
9	136370286	136370536	m6Ainputs.436587	-0.812	-	-4.71	-4.29	12.7	-0.639	-1.63	1.90E-05	ENSG00000187796	CARD9	Exon	None	N	136370411	5996	-1.14	5996	5996	
9	136370635	136370736	m6Ainputs.436587	-0.825	-	-4.71	-4.29	1.9	-1.81	-3.52	1.90E-05	ENSG00000187796	CARD9	Exon	Down	N	136370685	6270	-1.14	6270	6270	
X	40052067	40052268	m6Ainputs.446480	0.0631	-	-25.5	-23.6	9.03	-0.15	-0.519	3.20E-26	ENSG00000183337	BCOR	Exon	None	N	40052167	-69777	-0.839	69777	-69777	
X	40062810	40062911	m6Ainputs.446480	-0.222	-	-9.22	-8.53	2.2	-0.629	-1.61	6.00E-10	ENSG00000183337	BCOR	Exon	None	N	40062860	-59084	-0.839	59084	-59084	
X	40072614	40073014	m6Ainputs.446480	0.0197	-	-10.9	-10.1	10.5	-0.604	-1.56	1.30E-11	ENSG00000183337	BCOR	Exon	None	N	40072814	-49130	-0.839	49130	-49130	
X	40073713	40073814	m6Ainputs.446480	-0.0359	-	-10.9	-10.1	3.78	-0.956	-2.25	1.30E-11	ENSG00000183337	BCOR	Exon	None	N	40073763	-48181	-0.839	48181	-48181	
X	40074712	40074863	m6Ainputs.446480	-0.0408	-	-10.9	-10.1	2.07	-1.55	-3.17	1.30E-11	ENSG00000183337	BCOR	Exon	None	N	40074787	-47157	-0.839	47157	-47157	
X	40075012	40075113	m6Ainputs.446480	-0.124	-	-10.9	-10.1	2.59	-1.55	-3.17	1.30E-11	ENSG00000183337	BCOR	Exon	None	N	40075062	-46882	-0.839	46882	-46882	
X	40097337	40146552	m6Ainputs.446480	-0.839	-	-2.02	-1.7	3.81	-1.34	-2.88	0.0095	ENSG00000183337	BCOR	Greatest FC peak	Down	Y	40121944	0	-0.839	0	0	BCOR
X	40097804	40098054	m6Ainputs.446487	-0.48	+	-6.24	-5.75	5.22	-0.478	-1.28	5.80E-07	ENSG00000183337	BCOR	Intron	None	N	40097929	-24015	-0.839	24015	-24015	
