chr	chromStart	chromEnd	name	FC	strand	lg.p	lg.fdr	fold_enrchment	diff.lg.fdr	diff.lg.p	score	ENSEMBL_ID	Symbol	Functional_Location	Regulation	Min_Peak	Centre_Peak_Position	DisENg	diff.log2.fc	Distance	DistanceN	Gene
1	225886531	225886781	m6Ainputs.33612	-0.299	-	-31.7	-29.4	32.9	-434	-434	2.00E-32	ENSG00000255835	AL117348.2	Exon	None	N	225886656	-374	-0.624	374	-374	
1	225886980	225887081	m6Ainputs.33612	-0.624	-	-14.4	-13.3	4.23	-9.89	-13.1	4.00E-15	ENSG00000255835	AL117348.2	Exon	Down	Y	225887030	0	-0.624	0	0	
1	34784827	34784977	m6Ainputs.6596	-2.08	+	-5.2	-3.85	3.89	-1.67	-3.33	6.30E-06	ENSG00000255811	AL121988.1	Exon	Down	Y	34784902	0	-2.08	0	0	
1	34785125	34785971	m6Ainputs.6596	-0.718	+	-5.2	-4.76	17	-6.88	-9.64	6.30E-06	ENSG00000255811	AL121988.1	Exon	Down	N	34785548	646	-2.08	646	646	
1	41510360	41510911	m6Ainputs.8563	-0.39	-	-10.6	-9.85	32.8	-4.09	-6.39	2.50E-11	ENSG00000127124	HIVEP3	Exon	None	N	41510635	-71577	-0.966	71577	-71577	
1	41511110	41512859	m6Ainputs.8563	-0.00991	-	-9.84	-9.11	8.58	-1.81	-3.53	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41511984	-70228	-0.966	70228	-70228	
1	41513008	41513309	m6Ainputs.8563	-0.394	-	-9.84	-9.11	11.6	-6.32	-8.96	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41513158	-69054	-0.966	69054	-69054	
1	41513458	41518460	m6Ainputs.8563	-0.488	-	-9.84	-9.11	8	-6.12	-8.73	1.40E-10	ENSG00000127124	HIVEP3	Exon	None	N	41515959	-66253	-0.966	66253	-66253	
1	41555764	41555965	m6Ainputs.8586	-0.688	+	-7	-6.46	4.7	-1.44	-3.02	1.00E-07	ENSG00000127124	HIVEP3	Intron	Down	N	41555864	-26348	-0.966	26348	-26348	
1	41555822	41555972	m6Ainputs.8587	-0.967	-	-6.55	-6.04	4.73	-3.6	-5.79	2.80E-07	ENSG00000127124	HIVEP3	Intron	Down	N	41555897	-26315	-0.966	26315	-26315	
1	41579989	41580090	m6Ainputs.8563	0.672	-	-11.5	-10.6	3.57	-5.04	-7.5	3.20E-12	ENSG00000127124	HIVEP3	Exon	None	N	41580039	-2173	-0.966	2173	-2173	
1	41580389	41580540	m6Ainputs.8563	0.106	-	-4.36	-3.95	4.19	-4.01	-6.28	4.40E-05	ENSG00000127124	HIVEP3	Exon	None	N	41580464	-1748	-0.966	1748	-1748	
1	41581138	41581489	m6Ainputs.8563	-0.315	-	-6.74	-6.22	3.06	-5.87	-8.45	1.80E-07	ENSG00000127124	HIVEP3	Exon	None	N	41581313	-899	-0.966	899	-899	
1	41581688	41581938	m6Ainputs.8563	0.03	-	-6.74	-6.22	4.25	-4.44	-6.8	1.80E-07	ENSG00000127124	HIVEP3	Exon	None	N	41581813	-399	-0.966	399	-399	
1	41582087	41582338	m6Ainputs.8563	-0.966	-	-9.23	-8.54	2.96	-3.17	-5.27	5.90E-10	ENSG00000127124	HIVEP3	Greatest FC peak	Down	Y	41582212	0	-0.966	0	0	HIVEP3
1	41584835	41585235	m6Ainputs.8563	-0.121	-	-8.95	-8.28	12.4	-3.98	-6.25	1.10E-09	ENSG00000127124	HIVEP3	Exon	None	N	41585035	2823	-0.966	2823	2823	
1	6247397	6247994	m6Ainputs.795	0.154	-	-8.63	-7.98	3.29	-1.12	-2.52	2.30E-09	ENSG00000158292	GPR153	Exon	None	N	6247695	-2412	-1.07	2412	-2412	
1	6248640	6248790	m6Ainputs.795	-0.359	-	-7.7	-7.12	4.45	-1.07	-2.44	2.00E-08	ENSG00000158292	GPR153	Exon	None	N	6248715	-1392	-1.07	1392	-1392	
1	6248938	6249138	m6Ainputs.795	-0.46	-	-16.1	-14.9	4.58	0	-0.184	7.90E-17	ENSG00000158292	GPR153	Exon	None	N	6249038	-1069	-1.07	1069	-1069	
1	6249286	6249387	m6Ainputs.795	-0.802	-	-12.6	-11.7	4.55	-0.232	-0.705	2.50E-13	ENSG00000158292	GPR153	Exon	None	N	6249336	-771	-1.07	771	-771	
1	6249983	6250232	m6Ainputs.795	-1.07	-	-6.71	-6.19	4.91	-1.31	-2.83	1.90E-07	ENSG00000158292	GPR153	Greatest FC peak	Down	Y	6250107	0	-1.07	0	0	GPR153
1	6252635	6252736	m6Ainputs.795	-1.01	-	-5.32	-4.87	2.88	-0.584	-1.51	4.80E-06	ENSG00000158292	GPR153	Intron	None	N	6252685	2578	-1.07	2578	2578	
1	919681	919781	m6Ainputs.278	-0.934	-	-7.19	-6.63	32.5	-2.77	-4.77	6.50E-08	ENSG00000223764	AL645608.1	Exon	Down	Y	919731	0	-0.934	0	0	
1	920076	920818	m6Ainputs.278	-0.406	-	-8.82	-8.16	64.1	-9.85	-13.1	1.50E-09	ENSG00000223764	AL645608.1		None	N	920447	716	-0.934	716	716	
1	944234	944383	m6Ainputs.276	-2.24	+	-21.5	-19.9	20.5	-4.72	-7.15	3.20E-22	ENSG00000187634	SAMD11	Exon	Down	N	944308	-20	-2.37	20	-20	
1	944253	944404	m6Ainputs.279	-2.37	-	-14.4	-13.3	17.6	-3.11	-5.2	4.00E-15	ENSG00000187634	SAMD11	Exon	Down	Y	944328	0	-2.37	0	0	
10	133101237	133101637	m6Ainputs.61097	-0.908	+	-3.21	-2	6.33	-7.28	-10.1	0.00062	ENSG00000197177	ADGRA1	Intron	Down	N	133101437	-27292	-1.93	27292	-27292	
10	133102335	133127234	m6Ainputs.61097	-1.07	+	-3.18	-1.98	2.17	-3.64	-5.83	0.00066	ENSG00000197177	ADGRA1	Exon	Down	N	133114784	-13945	-1.93	13945	-13945	
10	133105703	133106001	m6Ainputs.61096	1.04	-	-3.48	-3.11	7.22	-3.9	-6.15	0.00033	ENSG00000197177	ADGRA1	Intron	None	N	133105852	-22877	-1.93	22877	-22877	
10	133128679	133128780	m6Ainputs.61097	-1.93	+	-4.46	-3.16	8.33	-2.44	-4.35	3.50E-05	ENSG00000197177	ADGRA1	Greatest FC peak	Down	Y	133128729	0	-1.93	0	0	ADGRA1
10	133128878	133129229	m6Ainputs.61097	-0.426	+	-4.46	-3.16	4.17	-6.39	-9.05	3.50E-05	ENSG00000197177	ADGRA1	Exon	None	N	133129053	324	-1.93	324	324	
10	133129378	133129628	m6Ainputs.61097	0.129	+	-4.46	-4.05	20.3	-1.39	-2.95	3.50E-05	ENSG00000197177	ADGRA1	Exon	None	N	133129503	774	-1.93	774	774	
10	133130376	133130577	m6Ainputs.61097	0.0857	+	-2.55	-2.22	8.56	-4.13	-6.45	0.0028	ENSG00000197177	ADGRA1	Exon	None	N	133130476	1747	-1.93	1747	1747	
10	35639094	35639294	m6Ainputs.45041	0.586	-	-9.04	-8.37	10.6	-0.666	-1.69	9.10E-10	ENSG00000177283	FZD8	Exon	None	N	35639194	-1392	-1.23	1392	-1392	
10	35639120	35639369	m6Ainputs.45041	0.711	-	-6.01	-5.53	12.9	-0.416	-1.13	9.80E-07	ENSG00000177283	FZD8	Exon	None	N	35639244	-1342	-1.23	1342	-1342	
10	35639591	35640189	m6Ainputs.45041	-0.667	-	-7.19	-6.64	8.86	-6.79	-9.51	6.50E-08	ENSG00000177283	FZD8	Exon	Down	N	35639890	-696	-1.23	696	-696	
10	35639616	35640164	m6Ainputs.45041	-0.717	-	-6.75	-6.23	9.27	-6.91	-9.67	1.80E-07	ENSG00000177283	FZD8	Exon	Down	N	35639890	-696	-1.23	696	-696	
10	35640461	35640711	m6Ainputs.45041	-1.23	-	-8.32	-7.69	11.4	-5.62	-8.16	4.80E-09	ENSG00000177283	FZD8	Exon	Down	Y	35640586	0	-1.23	0	0	
10	35640486	35640736	m6Ainputs.45041	-1.18	-	-9.29	-8.6	9.38	-7.49	-10.3	5.10E-10	ENSG00000177283	FZD8	Exon	Down	N	35640611	25	-1.23	25	25	
10	35641531	35642278	m6Ainputs.45041	0.155	-	-7.63	-7.06	18.1	-4.08	-6.38	2.30E-08	ENSG00000177283	FZD8	Exon	None	N	35641904	1318	-1.23	1318	1318	
10	35641555	35642549	m6Ainputs.45041	-0.0578	-	-8.31	-7.68	18.1	-12.5	-16	4.90E-09	ENSG00000177283	FZD8	Exon	None	N	35642052	1466	-1.23	1466	1466	
10	35640958	35641307	m6Ainputs.45041	-1.37	-	-5.12	-4.69	8.65	-1.81	-3.53	7.60E-06	ENSG00000284265	MIR4683	Exon	Down	N	35641132	-1	-1.43	1	-1	
10	35640984	35641283	m6Ainputs.45041	-1.43	-	-7.11	-6.56	11.4	-3.22	-5.32	7.80E-08	ENSG00000284265	MIR4683	Exon	Down	Y	35641133	0	-1.43	0	0	
10	72005813	72005914	m6Ainputs.49575	-0.282	+	-6.17	-5.68	10.1	-0.207	-0.647	6.80E-07	ENSG00000122863	CHST3	Exon	None	N	72005863	-2283	-0.585	2283	-2283	
10	72007847	72008445	m6Ainputs.49575	-0.585	+	-7.65	-7.07	17.3	-1.71	-3.4	2.20E-08	ENSG00000122863	CHST3	Exon	Down	Y	72008146	0	-0.585	0	0	
10	72008593	72008942	m6Ainputs.49575	0.757	+	-8.68	-8.03	22.3	-0.946	-2.23	2.10E-09	ENSG00000122863	CHST3	Exon	None	N	72008767	621	-0.585	621	621	
10	72009239	72009389	m6Ainputs.49575	-0.313	+	-12.8	-11.8	15.1	-0.533	-1.4	1.60E-13	ENSG00000122863	CHST3	Exon	None	N	72009314	1168	-0.585	1168	1168	
10	72010879	72011178	m6Ainputs.49575	0.577	+	-12.7	-11.8	20.9	-1.09	-2.47	2.00E-13	ENSG00000122863	CHST3	Exon	None	N	72011028	2882	-0.585	2882	2882	
10	72011326	72011427	m6Ainputs.49575	1	+	-8.6	-7.96	18.2	-0.0725	-0.357	2.50E-09	ENSG00000122863	CHST3	Exon	None	N	72011376	3230	-0.585	3230	3230	
11	119308677	119309027	m6Ainputs.79500	-0.9	-	-12.2	-11.3	4.59	-2.82	-4.84	6.30E-13	ENSG00000076706	MCAM	Exon	Down	Y	119308852	0	-0.9	0	0	
11	119309225	119309376	m6Ainputs.79500	-0.215	-	-10.4	-9.6	2.54	0	0	4.00E-11	ENSG00000076706	MCAM	Exon	None	N	119309300	448	-0.9	448	448	
11	119309624	119309874	m6Ainputs.79500	-0.808	-	-10.4	-9.6	10.2	-0.199	-0.63	4.00E-11	ENSG00000076706	MCAM	Exon	None	N	119309749	897	-0.9	897	897	
11	13010320	13010470	m6Ainputs.63952	-1.11	+	-2.82	-2.47	6.21	-1.85	-3.58	0.0015	ENSG00000189431	RASSF10	Exon	Down	Y	13010395	0	-1.11	0	0	
11	13010350	13010451	m6Ainputs.63952	-1.03	+	-6.45	-5.94	7	-1.63	-3.28	3.50E-07	ENSG00000189431	RASSF10	Exon	Down	N	13010400	5	-1.11	5	5	
11	13010750	13011100	m6Ainputs.63952	0.0284	+	-11.1	-10.3	35.3	-2.5	-4.43	7.90E-12	ENSG00000189431	RASSF10	Exon	None	N	13010925	530	-1.11	530	530	
11	13010766	13011065	m6Ainputs.63952	0.0344	+	-12	-11.1	44.7	-3.23	-5.34	1.00E-12	ENSG00000189431	RASSF10	Exon	None	N	13010915	520	-1.11	520	520	
11	13011349	13011600	m6Ainputs.63952	0.678	+	-4.47	-4.06	7.33	-0.972	-2.28	3.40E-05	ENSG00000189431	RASSF10	Exon	None	N	13011474	1079	-1.11	1079	1079	
11	13011361	13011610	m6Ainputs.63952	1.1	+	-4.13	-3.74	5.17	-1.44	-3.02	7.40E-05	ENSG00000189431	RASSF10	Exon	None	N	13011485	1090	-1.11	1090	1090	
11	14643772	14644271	m6Ainputs.64261	-0.897	+	-12.4	-11.5	7.24	-1.68	-3.35	4.00E-13	ENSG00000152270	PDE3B	Greatest FC peak	Down	Y	14644021	0	-0.897	0	0	PDE3B
11	14644420	14644620	m6Ainputs.64261	0.504	+	-12.4	-11.5	11.1	-0.776	-1.94	4.00E-13	ENSG00000152270	PDE3B	Exon	None	N	14644520	499	-0.897	499	499	
11	14777773	14777923	m6Ainputs.64433	-0.769	-	-10	-9.26	10.3	-0.671	-1.7	1.00E-10	ENSG00000152270	PDE3B	Intron	None	N	14777848	133827	-0.897	133827	133827	
11	14863798	14863948	m6Ainputs.64485	0.503	-	-7.77	-7.19	5.13	-1.39	-2.94	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14863873	219852	-0.897	219852	219852	
11	14864047	14864246	m6Ainputs.64485	0.333	-	-7.77	-6.2	4.33	-0.632	-1.62	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864146	220125	-0.897	220125	220125	
11	14864345	14864445	m6Ainputs.64485	-0.671	-	-7.77	-6.2	3.33	-0.337	-0.947	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864395	220374	-0.897	220374	220374	
11	14864593	14864693	m6Ainputs.64485	-0.43	-	-7.77	-6.2	5.33	-0.337	-0.947	1.70E-08	ENSG00000152270	PDE3B	Intron	None	N	14864643	220622	-0.897	220622	220622	
11	14867699	14869900	m6Ainputs.64261	-0.0336	+	-11.1	-10.2	28	0	0	7.90E-12	ENSG00000152270	PDE3B	Exon	None	N	14868799	224778	-0.897	224778	224778	
11	1597584	1597885	m6Ainputs.61660	-0.715	+	-7.21	-6.65	7.22	-2.97	-5.03	6.20E-08	ENSG00000205867	KRTAP5-2	Exon	Down	N	1597734	-25	-1.59	25	-25	
11	1597613	1597905	ENSG00000205867	-1.59	-	-6.03	-5.54	5.22	-4.02	-6.3	9.30E-07	ENSG00000205867	KRTAP5-2	Exon	Down	Y	1597759	0	-1.59	0	0	
11	18614923	18615073	m6Ainputs.64965	0.209	-	-9.3	-8.6	5.41	-0.281	-0.818	5.00E-10	ENSG00000179119	SPTY2D1	Exon	None	N	18614998	-273	-0.974	273	-273	
11	18615221	18615321	m6Ainputs.64965	-0.974	-	-12.2	-11.3	2.85	-1.74	-3.43	6.30E-13	ENSG00000179119	SPTY2D1	Exon	Down	Y	18615271	0	-0.974	0	0	
11	18615568	18615817	m6Ainputs.64965	-0.0986	-	-10	-9.3	2.12	0	0	1.00E-10	ENSG00000179119	SPTY2D1	Exon	None	N	18615692	421	-0.974	421	421	
11	18634247	18634397	m6Ainputs.64965	-0.543	-	-9.01	-8.34	5.49	0	0	9.80E-10	ENSG00000179119	SPTY2D1	Exon	None	N	18634322	19051	-0.974	19051	19051	
11	20045075	20045176	m6Ainputs.68881	-0.728	+	-10.4	-9.64	1.59	-2.94	-5	4.00E-11	ENSG00000254453	NAV2-AS2	Exon	Down	Y	20045125	0	-0.728	0	0	
11	20045275	20045476	m6Ainputs.68881	-0.226	+	-10.4	-9.64	4.65	-0.459	-1.24	4.00E-11	ENSG00000254453	NAV2-AS2	Exon	None	N	20045375	250	-0.728	250	250	
11	34357311	34357610	m6Ainputs.67278	-0.612	-	-12.7	-11.7	7.64	-2.26	-4.12	2.00E-13	ENSG00000166016	ABTB2	Exon	Down	Y	34357460	0	-0.612	0	0	
11	34357808	34358008	m6Ainputs.67278	-0.488	-	-8.4	-7.77	7.83	-1.17	-2.61	4.00E-09	ENSG00000166016	ABTB2	Exon	None	N	34357908	448	-0.612	448	448	
11	562313	562563	m6Ainputs.61332	-1.25	+	-5.43	-4.97	2.87	-1.81	-3.53	3.70E-06	ENSG00000099849	RASSF7	Exon	Down	Y	562438	0	-1.25	0	0	
11	563771	563971	m6Ainputs.61332	-0.0463	+	-15.3	-14.1	17.8	0	-0.119	5.00E-16	ENSG00000099849	RASSF7	Exon	None	N	563871	1433	-1.25	1433	1433	
11	61509982	61510427	m6Ainputs.69158	-0.478	+	-5.35	-4.91	10.5	-2.19	-4.04	4.50E-06	ENSG00000204950	LRRC10B	Exon	None	N	61510204	-666	-1.05	666	-666	
11	61510771	61510969	m6Ainputs.69158	-1.05	+	-7.26	-6.71	7.72	-1.95	-3.72	5.50E-08	ENSG00000204950	LRRC10B	Exon	Down	Y	61510870	0	-1.05	0	0	
11	64103260	64103653	m6Ainputs.69507	-0.162	+	-63.1	-59.5	19	-3.44	-5.59	7.90E-64	ENSG00000126500	FLRT1	Exon	None	N	64103456	-56	-0.821	56	-56	
11	64103287	64103738	m6Ainputs.69507	-0.821	+	-8.46	-7.83	21.9	-2.33	-4.22	3.50E-09	ENSG00000126500	FLRT1	Exon	Down	Y	64103512	0	-0.821	0	0	
11	67423766	67424066	m6Ainputs.70677	-0.0575	+	-11.3	-10.5	15.5	-1.75	-3.45	5.00E-12	ENSG00000172508	CARNS1	Exon	None	N	67423916	-1267	-0.723	1267	-1267	
11	67424413	67424563	m6Ainputs.70677	1.04	+	-5.04	-4.61	5.06	-0.738	-1.86	9.10E-06	ENSG00000172508	CARNS1	Exon	None	N	67424488	-695	-0.723	695	-695	
11	67424711	67424811	m6Ainputs.70677	0.838	+	-4.5	-4.09	1.72	-1.07	-2.45	3.20E-05	ENSG00000172508	CARNS1	Exon	None	N	67424761	-422	-0.723	422	-422	
11	67425009	67425358	m6Ainputs.70677	-0.723	+	-8.08	-7.47	9.5	-2.26	-4.13	8.30E-09	ENSG00000172508	CARNS1	Exon	Down	Y	67425183	0	-0.723	0	0	
11	73235169	73235570	m6Ainputs.71751	-1.84	+	-5.23	-4.79	18.9	-1.91	-3.66	5.90E-06	ENSG00000175591	P2RY2	Exon	Down	Y	73235369	0	-1.84	0	0	
11	73235719	73235919	m6Ainputs.71751	0.367	+	-12.3	-11.4	17.8	-0.242	-0.727	5.00E-13	ENSG00000175591	P2RY2	Exon	None	N	73235819	450	-1.84	450	450	
11	74497386	74497537	m6Ainputs.72205	0.863	+	-6.09	-5.6	8.67	-0.79	-1.96	8.10E-07	ENSG00000254837	AP001372.2	Exon	None	N	74497461	-474	-1.91	474	-474	
11	74497835	74498035	m6Ainputs.72205	-1.91	+	-8	-7.4	12.6	-1.69	-3.37	1.00E-08	ENSG00000254837	AP001372.2	Exon	Down	Y	74497935	0	-1.91	0	0	
11	9573730	9573831	m6Ainputs.63202	0.102	+	-8.9	-8.24	4.21	-1.61	-3.26	1.30E-09	ENSG00000166483	WEE1	Exon	None	N	9573780	-375	-0.643	375	-375	
11	9574030	9574280	m6Ainputs.63202	-0.643	+	-8.9	-8.24	7.37	-3.95	-6.21	1.30E-09	ENSG00000166483	WEE1	Exon	Down	Y	9574155	0	-0.643	0	0	
12	121802762	121802912	m6Ainputs.102755	-1.09	-	-20.9	-19.4	7.25	-0.703	-1.79	1.30E-21	ENSG00000274292	AC084018.2	Exon	None	N	121802837	-24	-1.25	24	-24	
12	121802812	121802911	m6Ainputs.102753	-1.25	+	-17.5	-16.2	6.48	-1.39	-2.96	3.20E-18	ENSG00000274292	AC084018.2	Exon	Down	Y	121802861	0	-1.25	0	0	
12	121803156	121803354	m6Ainputs.102753	-0.361	+	-11.7	-10.8	6.02	0	0	2.00E-12	ENSG00000274292	AC084018.2	Exon	None	N	121803255	394	-1.25	394	394	
12	121803161	121803412	m6Ainputs.102755	-0.364	-	-14.1	-13	5.98	0	0	7.90E-15	ENSG00000274292	AC084018.2	Exon	None	N	121803286	425	-1.25	425	425	
12	124324763	124325263	m6Ainputs.109502	-0.224	-	-14	-12.9	4.24	-1.14	-2.56	1.00E-14	ENSG00000196498	NCOR2	Exon	None	N	124325013	-47477	-0.635	47477	-47477	
12	124363744	124372317	m6Ainputs.109502	-0.426	-	-13.8	-12.8	4.86	-1.42	-2.99	1.60E-14	ENSG00000196498	NCOR2	Exon	None	N	124368030	-4460	-0.635	4460	-4460	
12	124372415	124372566	m6Ainputs.109502	-0.635	-	-13.8	-12.8	2.97	-5.87	-8.45	1.60E-14	ENSG00000196498	NCOR2	Exon	Down	Y	124372490	0	-0.635	0	0	
12	128267388	128267538	m6Ainputs.103621	-0.412	-	-7.58	-7.01	3.33	0	0	2.60E-08	ENSG00000181234	TMEM132C	Exon	None	N	128267463	-147708	-0.76	147708	-147708	
12	128333444	128333641	m6Ainputs.103645	0.2	-	-6.62	-6.1	7.11	0	0	2.40E-07	ENSG00000181234	TMEM132C	Intron	None	N	128333542	-81629	-0.76	81629	-81629	
